id,vehicle_count,arriving_time,Waiting_time,label
49,92,24-02-11 1:42,22,2
,,,,
50,88,11-02-16 0:16,19,1
,,,,
51,45,13-08-13 2:33,16,1
,,,,
52,94,19-06-10 12:43,18,1
,,,,
53,36,18-09-16 7:12,28,2
,,,,
54,59,20-09-14 20:56,9,0
,,,,
55,91,22-09-10 21:14,14,1
,,,,
56,53,29-01-19 7:48,14,1
,,,,
57,39,05-06-19 7:22,14,1
,,,,
58,61,17-09-16 4:28,17,1
,,,,
59,62,27-01-13 0:01,29,2
,,,,
60,87,10-04-19 11:03,25,2
,,,,
61,45,10-02-19 10:06,18,1
,,,,
62,44,10-07-12 11:49,26,2
,,,,
63,53,30-10-13 1:15,19,1
,,,,
64,86,23-02-10 19:23,20,1
,,,,
65,40,16-04-17 16:46,23,2
,,,,
66,64,23-11-16 16:45,16,1
,,,,
67,49,30-05-16 20:26,17,1
,,,,
68,77,04-04-18 21:35,13,1
,,,,
69,58,06-07-16 4:13,19,1
,,,,
70,83,31-01-15 18:51,11,1
,,,,
71,32,01-11-11 8:55,15,1
,,,,
72,52,10-05-15 17:37,28,2
,,,,
73,75,10-03-16 18:54,3,0
,,,,
74,37,15-02-15 12:56,10,0
,,,,
75,92,26-07-16 12:39,14,1
,,,,
76,43,02-09-10 1:21,11,1
,,,,
77,65,31-07-19 23:01,24,2
,,,,
78,75,22-04-15 23:42,29,2
,,,,
79,37,06-01-16 2:46,8,0
,,,,
80,81,23-07-15 4:59,27,2
,,,,
81,92,29-01-10 23:48,17,1
,,,,
82,34,07-07-13 11:38,26,2
,,,,
83,53,04-04-19 0:01,19,1
,,,,
84,80,08-08-14 19:12,28,2
,,,,
85,91,03-11-13 21:48,7,0
,,,,
86,95,18-04-10 5:13,30,0
,,,,
87,61,21-01-10 5:41,6,0
,,,,
88,44,08-05-12 18:39,2,0
,,,,
89,50,21-05-17 21:39,5,0
,,,,
90,57,09-05-13 16:34,7,0
,,,,
91,57,20-01-13 6:31,28,2
,,,,
92,49,09-05-13 12:01,12,1
,,,,
93,35,20-01-20 15:08,24,2
,,,,
94,93,01-07-12 8:02,20,2
,,,,
95,55,14-07-13 20:26,27,2
,,,,
96,75,14-11-18 17:11,23,2
,,,,
97,32,02-10-12 10:44,17,1
,,,,
98,31,10-10-10 16:31,29,2
,,,,
99,64,23-02-13 18:06,6,0
,,,,
100,66,02-01-19 11:12,10,0
,,,,
101,93,28-07-18 15:45,12,1
,,,,
102,47,21-09-14 0:23,7,0
,,,,
103,91,06-06-15 22:21,13,1
,,,,
104,86,13-08-18 0:00,15,1
,,,,
105,93,22-07-11 19:12,27,2
,,,,
106,57,23-05-12 19:51,29,2
,,,,
107,54,29-09-15 23:06,30,2
,,,,
108,59,21-10-17 7:10,3,0
,,,,
109,50,22-01-20 10:24,20,0
,,,,
110,31,06-10-18 16:32,13,1
,,,,
111,31,26-04-13 6:59,27,2
,,,,
112,82,20-06-15 5:28,25,2
,,,,
113,49,15-10-15 23:18,19,1
,,,,
114,32,21-05-16 16:16,1,1
,,,,
115,85,26-04-18 17:40,23,2
,,,,
116,34,16-08-10 7:23,9,0
,,,,
117,61,05-04-19 22:29,17,1
,,,,
118,50,02-08-17 6:45,29,2
,,,,
119,58,02-08-14 8:07,30,2
,,,,
120,42,01-03-11 23:27,13,1
,,,,
121,89,28-06-11 21:59,10,1
,,,,
122,54,09-09-19 10:44,23,2
,,,,
123,98,13-11-19 7:38,30,2
,,,,
124,66,02-11-17 1:28,28,2
,,,,
125,80,12-07-18 6:43,30,2
,,,,
126,85,12-06-18 9:06,22,2
,,,,
127,84,01-10-19 6:14,19,1
,,,,
128,68,24-09-13 16:38,13,1
,,,,
129,55,15-07-19 4:42,29,2
,,,,
130,95,27-03-15 19:53,23,2
,,,,
131,43,29-08-10 1:48,24,2
,,,,
132,63,31-03-12 1:40,25,2
,,,,
133,38,24-07-15 16:28,12,1
,,,,
134,92,08-07-10 21:30,11,1
,,,,
135,30,26-05-13 5:25,25,2
,,,,
136,93,05-02-17 10:09,7,0
,,,,
137,70,29-03-13 10:02,11,0
,,,,
138,59,18-10-10 18:46,3,0
,,,,
139,84,10-10-12 23:49,17,1
,,,,
140,35,04-06-14 21:25,21,1
,,,,
141,76,29-01-15 7:27,18,1
,,,,
142,72,07-04-15 1:31,1,1
,,,,
143,63,17-12-14 8:21,22,2
,,,,
144,70,31-05-18 1:46,26,2
,,,,
145,96,26-02-12 11:28,21,2
,,,,
146,32,05-08-11 21:06,16,1
,,,,
147,64,28-12-16 11:58,11,1
,,,,
148,32,16-09-13 4:06,27,2
,,,,
149,36,10-10-18 20:48,9,0
,,,,
150,90,01-05-16 18:09,16,1
,,,,
151,78,05-02-10 21:49,30,1
,,,,
152,70,06-06-10 16:02,12,1
,,,,
153,97,24-10-10 1:29,14,1
,,,,
154,59,29-07-17 15:03,7,0
,,,,
155,58,05-07-16 23:41,8,0
,,,,
156,58,20-12-18 5:42,10,0
,,,,
157,90,28-12-18 16:33,1,0
,,,,
158,76,25-01-12 5:41,26,2
,,,,
159,85,26-03-11 3:15,8,0
,,,,
160,81,15-08-13 3:30,4,0
,,,,
161,48,22-12-19 9:30,20,0
,,,,
162,68,27-09-17 7:57,6,0
,,,,
163,70,13-01-16 3:39,30,0
,,,,
164,99,29-03-16 2:41,10,0
,,,,
165,42,18-05-18 8:02,12,1
,,,,
166,47,07-05-12 14:53,20,1
,,,,
167,47,28-12-19 15:29,29,2
,,,,
168,61,18-07-14 11:23,1,2
,,,,
169,95,17-12-11 8:23,4,0
,,,,
170,89,26-03-12 3:43,1,0
,,,,
171,70,25-03-12 22:19,4,0
,,,,
172,89,18-05-12 16:27,25,2
,,,,
173,93,13-02-20 4:19,11,2
,,,,
174,93,25-04-11 13:46,25,2
,,,,
175,93,24-09-11 10:34,9,0
,,,,
176,82,16-10-17 9:15,24,2
,,,,
177,68,20-08-12 2:38,4,0
,,,,
178,81,28-07-18 14:39,14,1
,,,,
179,72,05-05-14 0:01,17,1
,,,,
180,51,25-06-11 5:07,7,0
,,,,
181,34,05-09-12 2:31,3,0
,,,,
182,46,07-08-16 5:43,19,1
,,,,
183,41,05-06-14 15:16,30,1
,,,,
184,53,14-05-14 9:12,29,2
,,,,
185,79,11-08-14 3:59,30,2
,,,,
186,67,09-11-15 17:41,6,0
,,,,
187,49,28-11-10 6:32,4,0
,,,,
188,91,20-08-12 20:53,15,1
,,,,
189,55,17-01-19 21:31,28,2
,,,,
190,86,24-01-17 0:02,21,2
,,,,
191,98,19-02-17 0:34,20,2
,,,,
192,86,04-02-14 16:08,7,0
,,,,
193,82,21-11-18 20:18,27,2
,,,,
194,89,12-01-12 1:27,5,0
,,,,
195,83,28-11-11 22:56,12,1
,,,,
196,48,16-03-10 21:51,25,2
,,,,
197,63,13-03-18 17:07,29,2
,,,,
198,66,03-05-11 4:55,2,0
,,,,
199,82,22-11-10 18:04,6,0
,,,,
200,78,16-12-14 18:26,1,0
,,,,
201,80,19-01-11 11:25,27,2
,,,,
202,61,04-05-14 2:26,6,0
,,,,
203,59,25-04-12 2:31,22,2
,,,,
204,38,14-12-10 17:19,20,2
,,,,
205,54,25-12-12 6:08,26,2
,,,,
206,32,30-01-16 20:00,15,1
,,,,
207,32,21-08-11 19:47,9,0
,,,,
208,100,28-11-12 15:31,1,0
,,,,
209,76,24-02-17 1:50,17,1
,,,,
210,49,09-04-14 16:59,27,2
,,,,
211,68,04-10-15 4:17,12,1
,,,,
212,44,15-12-12 4:01,2,0
,,,,
213,41,12-03-20 20:37,19,1
,,,,
214,94,24-10-10 7:37,6,0
,,,,
215,48,13-08-11 10:56,8,0
,,,,
216,97,17-05-13 18:24,8,0
,,,,
217,72,23-09-15 10:11,27,2
,,,,
218,99,24-08-13 22:41,11,2
,,,,
219,59,19-09-15 20:11,11,2
,,,,
220,92,08-03-11 18:03,1,2
,,,,
221,84,30-12-17 11:10,1,2
,,,,
222,38,18-06-12 7:41,28,2
,,,,
223,46,01-07-15 3:11,13,1
,,,,
224,54,24-04-18 8:14,15,1
,,,,
225,40,25-06-10 0:23,16,1
,,,,
226,42,25-08-13 23:03,25,2
,,,,
227,90,05-08-14 0:00,14,1
,,,,
228,35,30-10-11 6:53,14,1
,,,,
229,51,04-02-18 11:58,23,2
,,,,
230,76,01-03-12 2:07,9,0
,,,,
231,100,10-12-15 4:41,9,0
,,,,
232,61,16-11-18 7:28,7,0
,,,,
233,94,06-05-19 20:08,13,1
,,,,
234,56,12-04-10 10:54,2,0
,,,,
235,69,18-08-17 13:10,15,1
,,,,
236,31,14-07-14 1:00,16,1
,,,,
237,72,16-05-16 14:26,20,1
,,,,
238,54,26-06-13 22:42,25,2
,,,,
239,90,10-05-12 1:58,28,2
,,,,
240,47,07-01-14 23:38,27,2
,,,,
241,91,07-08-19 7:46,3,0
,,,,
242,93,04-01-15 8:04,15,1
,,,,
243,88,25-04-12 10:04,12,1
,,,,
244,70,28-08-15 9:57,2,0
,,,,
245,32,30-06-16 2:27,1,0
,,,,
246,40,18-05-12 11:41,4,0
,,,,
247,68,04-06-19 20:25,17,1
,,,,
248,58,24-09-12 16:00,15,1
,,,,
249,56,24-02-16 17:21,4,0
,,,,
250,33,05-10-14 21:25,27,2
,,,,
251,35,10-03-11 17:36,26,2
,,,,
252,99,30-03-18 23:52,16,1
,,,,
253,86,27-09-13 13:16,30,1
,,,,
254,76,27-09-13 4:05,13,1
,,,,
255,85,20-11-13 14:51,22,2
,,,,
256,58,21-02-17 8:14,25,2
,,,,
257,65,26-09-15 21:26,5,0
,,,,
258,92,31-08-11 4:16,8,0
,,,,
259,37,31-03-10 21:58,14,1
,,,,
260,79,26-09-14 9:00,3,0
,,,,
261,30,28-10-11 20:44,19,1
,,,,
262,83,25-12-16 15:42,30,1
,,,,
263,44,31-03-12 5:27,3,0
,,,,
264,88,09-06-11 3:36,24,2
,,,,
265,60,08-02-18 14:32,19,1
,,,,
266,89,03-10-15 17:05,27,2
,,,,
267,37,16-01-17 15:18,8,0
,,,,
268,93,17-11-14 22:36,10,0
,,,,
269,82,21-09-18 6:21,13,1
,,,,
270,75,09-05-19 9:35,22,2
,,,,
271,91,23-11-13 6:26,6,0
,,,,
272,34,13-07-14 13:38,11,0
,,,,
273,69,29-09-19 22:00,22,2
,,,,
274,48,10-03-16 23:08,3,0
,,,,
275,94,17-01-12 21:51,5,0
,,,,
276,59,15-10-11 6:49,19,1
,,,,
277,78,04-06-12 21:58,25,2
,,,,
278,33,05-03-14 13:34,5,0
,,,,
279,57,26-01-18 4:08,29,2
,,,,
280,89,06-03-15 23:43,22,2
,,,,
281,41,18-05-15 19:57,20,2
,,,,
282,37,01-06-18 18:59,11,2
,,,,
283,65,25-10-12 1:17,27,2
,,,,
284,99,22-10-10 9:21,2,0
,,,,
285,77,23-09-12 17:07,19,1
,,,,
286,59,20-12-15 6:07,24,2
,,,,
287,62,15-01-12 17:19,9,0
,,,,
288,88,28-05-16 13:12,30,0
,,,,
289,45,22-11-11 21:59,19,1
,,,,
290,48,15-08-11 14:33,15,1
,,,,
291,62,17-03-11 9:22,25,2
,,,,
292,73,11-07-15 4:35,14,1
,,,,
293,69,18-10-18 8:43,26,2
,,,,
294,36,12-08-14 22:38,26,2
,,,,
295,79,04-03-11 11:05,27,2
,,,,
296,37,01-04-12 21:55,12,1
,,,,
297,83,03-01-13 12:00,6,0
,,,,
298,75,21-09-16 19:19,22,2
,,,,
299,90,14-07-18 16:57,6,0
,,,,
300,39,29-09-13 12:58,21,0
,,,,
301,30,03-03-14 12:42,24,2
,,,,
302,31,22-05-15 20:37,9,0
,,,,
303,34,20-06-12 9:21,28,2
,,,,
304,42,12-02-19 14:05,28,2
,,,,
305,44,29-01-14 21:35,7,0
,,,,
306,67,14-03-17 12:07,29,2
,,,,
307,39,10-08-13 19:38,26,2
,,,,
308,54,09-06-11 2:10,25,2
,,,,
309,96,13-05-18 5:58,28,2
,,,,
310,83,02-08-16 7:31,3,0
,,,,
311,30,22-09-15 5:05,12,1
,,,,
312,47,12-04-11 17:08,2,0
,,,,
313,41,14-04-17 7:44,20,0
,,,,
314,68,16-03-18 16:35,30,0
,,,,
315,100,08-06-13 2:55,1,0
,,,,
316,91,15-03-17 20:53,12,1
,,,,
317,52,05-01-16 18:08,4,0
,,,,
318,74,17-10-10 14:43,17,1
,,,,
319,35,14-05-10 20:54,7,0
,,,,
320,37,02-10-13 13:45,14,1
,,,,
321,79,23-02-20 19:45,6,0
,,,,
322,75,26-01-20 0:41,9,0
,,,,
323,83,13-05-14 16:21,23,2
,,,,
324,86,03-09-10 21:57,9,0
,,,,
325,35,13-10-11 16:07,3,0
,,,,
326,50,14-06-15 0:28,6,0
,,,,
327,66,16-02-15 20:48,14,1
,,,,
328,94,12-01-20 13:22,12,1
,,,,
329,72,19-02-15 11:35,22,2
,,,,
330,91,29-11-10 16:26,16,1
,,,,
331,61,20-07-19 23:00,15,1
,,,,
332,46,30-09-10 23:11,12,1
,,,,
333,68,11-10-18 15:02,12,1
,,,,
334,45,06-05-12 15:49,15,1
,,,,
335,31,12-09-15 17:54,7,0
,,,,
336,97,14-04-12 4:17,12,1
,,,,
337,58,28-09-18 6:29,17,1
,,,,
338,65,26-02-11 12:58,23,2
,,,,
339,99,24-02-15 10:10,9,0
,,,,
340,62,26-12-16 5:04,20,0
,,,,
341,77,25-01-14 3:57,5,0
,,,,
342,62,11-05-13 22:45,18,1
,,,,
343,71,31-03-18 21:12,11,1
,,,,
344,67,31-05-12 7:54,18,1
,,,,
345,65,02-11-15 22:02,29,2
,,,,
346,50,05-01-20 19:50,26,2
,,,,
347,93,25-07-14 22:43,9,0
,,,,
348,38,01-10-11 21:00,30,0
,,,,
349,87,24-03-17 17:56,14,1
,,,,
350,61,28-04-10 11:22,11,1
,,,,
351,48,21-03-13 10:21,22,2
,,,,
352,30,22-01-19 19:25,21,2
,,,,
353,82,15-04-10 14:32,12,1
,,,,
354,80,23-10-11 5:36,28,2
,,,,
355,62,23-09-15 16:09,16,1
,,,,
356,90,11-10-18 7:06,25,2
,,,,
357,98,08-12-16 14:42,3,0
,,,,
358,53,04-01-16 21:14,20,0
,,,,
359,77,31-12-12 1:55,30,0
,,,,
360,60,29-05-17 16:11,29,2
,,,,
361,54,24-06-17 3:11,25,2
,,,,
362,86,09-05-14 18:52,14,1
,,,,
363,78,17-05-12 0:25,3,0
,,,,
364,53,24-10-14 18:51,12,1
,,,,
365,33,09-12-12 5:56,14,1
,,,,
366,55,09-08-16 16:07,21,1
,,,,
367,71,28-01-11 21:40,6,0
,,,,
368,32,30-10-14 18:16,23,2
,,,,
369,42,25-02-20 3:16,3,0
,,,,
370,60,31-05-15 9:54,2,0
,,,,
371,55,01-08-15 14:19,24,2
,,,,
372,70,30-11-10 4:32,17,1
,,,,
373,55,30-07-13 11:25,7,0
,,,,
374,75,23-04-18 6:52,9,0
,,,,
375,85,15-01-19 18:19,6,0
,,,,
376,79,12-10-13 16:44,25,2
,,,,
377,43,26-02-12 17:52,27,2
,,,,
378,55,01-07-10 16:14,26,2
,,,,
379,90,08-12-16 8:52,25,2
,,,,
380,32,19-01-16 22:27,8,0
,,,,
381,50,11-01-15 22:53,6,0
,,,,
382,100,03-09-10 0:00,7,0
,,,,
383,44,27-06-18 19:35,24,2
,,,,
384,86,27-08-17 4:16,5,0
,,,,
385,67,14-04-12 4:01,19,1
,,,,
386,49,31-03-18 11:27,24,2
,,,,
387,31,06-04-18 23:35,30,2
,,,,
388,35,10-01-16 21:42,12,1
,,,,
389,73,12-11-14 14:24,24,2
,,,,
390,31,24-03-10 3:36,3,0
,,,,
391,55,20-10-17 5:27,21,0
,,,,
392,59,17-01-15 23:16,2,0
,,,,
393,95,06-01-17 20:14,13,1
,,,,
394,47,07-02-20 11:31,11,1
,,,,
395,53,11-02-13 9:26,3,0
,,,,
396,34,23-05-14 8:14,9,0
,,,,
397,87,27-08-10 15:42,10,0
,,,,
398,57,04-08-10 20:07,28,2
,,,,
399,64,05-10-14 17:36,17,1
,,,,
400,64,02-12-16 8:56,6,0
,,,,
401,52,27-07-19 4:49,25,2
,,,,
402,93,21-03-17 1:40,9,0
,,,,
403,97,18-07-19 12:32,4,0
,,,,
404,98,31-01-19 12:39,9,0
,,,,
405,69,07-10-16 2:07,4,0
,,,,
406,70,04-02-18 3:46,6,0
,,,,
407,47,05-03-18 14:13,15,1
,,,,
408,56,31-01-15 9:34,29,2
,,,,
409,45,27-11-12 2:13,4,0
,,,,
410,53,25-05-18 21:15,29,2
,,,,
411,74,08-08-15 23:04,7,0
,,,,
412,89,20-08-13 19:18,8,0
,,,,
413,57,16-09-14 23:09,25,2
,,,,
414,85,24-07-18 4:38,30,2
,,,,
415,68,14-12-15 1:01,14,1
,,,,
416,72,15-03-18 15:12,5,0
,,,,
417,34,06-12-17 4:09,15,1
,,,,
418,55,02-02-13 13:06,7,0
,,,,
419,58,22-06-19 13:07,11,0
,,,,
420,93,29-06-15 11:18,2,0
,,,,
421,92,31-10-14 7:02,10,0
,,,,
422,50,24-12-19 19:07,27,2
,,,,
423,48,11-04-12 8:28,24,2
,,,,
424,64,05-12-13 18:52,11,2
,,,,
425,98,22-11-11 6:52,23,2
,,,,
426,97,28-06-19 23:17,17,1
,,,,
427,33,02-11-13 4:03,14,1
,,,,
428,61,14-04-11 15:39,15,1
,,,,
429,71,04-07-17 22:59,28,2
,,,,
430,51,16-10-12 14:58,17,1
,,,,
431,73,28-02-11 0:22,8,0
,,,,
432,53,14-08-13 13:31,17,1
,,,,
433,42,24-01-12 17:03,22,2
,,,,
434,97,06-01-12 3:37,17,1
,,,,
435,50,28-08-16 5:53,20,1
,,,,
436,35,17-02-13 6:09,14,1
,,,,
437,42,01-09-19 5:33,3,0
,,,,
438,35,26-12-14 14:46,4,0
,,,,
439,53,28-04-11 5:25,21,0
,,,,
440,42,08-01-14 6:55,8,0
,,,,
441,33,04-09-13 8:58,27,2
,,,,
442,74,09-03-18 19:08,5,0
,,,,
443,98,22-12-14 4:09,20,0
,,,,
444,83,14-04-11 1:13,20,0
,,,,
445,81,05-06-19 19:47,4,0
,,,,
446,32,18-03-18 12:46,22,2
,,,,
447,80,14-09-12 13:01,26,2
,,,,
448,39,25-08-18 6:47,5,0
,,,,
449,46,21-04-14 0:52,14,1
,,,,
450,73,24-04-10 19:06,30,1
,,,,
451,35,06-10-16 9:49,8,0
,,,,
452,86,11-02-14 21:19,3,0
,,,,
453,68,30-05-13 21:13,12,1
,,,,
454,34,22-11-14 2:49,29,2
,,,,
455,74,05-11-16 8:58,19,1
,,,,
456,82,27-06-18 10:47,20,1
,,,,
457,92,03-04-15 9:21,6,0
,,,,
458,62,31-07-17 20:26,11,0
,,,,
459,93,25-04-12 17:53,19,1
,,,,
460,87,16-09-11 13:58,20,1
,,,,
461,60,21-11-19 15:55,30,1
,,,,
462,42,07-10-13 9:40,2,0
,,,,
463,33,04-01-12 12:16,21,0
,,,,
464,59,28-01-20 7:35,1,0
,,,,
465,79,18-01-17 18:39,8,0
,,,,
466,59,20-06-17 22:00,22,2
,,,,
467,62,09-03-11 15:14,19,1
,,,,
468,83,31-01-18 10:25,1,1
,,,,
469,53,11-12-13 22:31,21,1
,,,,
470,100,06-04-14 21:49,15,1
,,,,
471,53,28-12-18 12:39,17,1
,,,,
472,62,19-10-11 9:47,11,1
,,,,
473,53,21-10-16 11:35,2,0
,,,,
474,52,12-05-11 14:54,5,0
,,,,
475,75,21-06-11 4:39,16,1
,,,,
476,41,18-09-17 0:14,30,1
,,,,
477,84,09-03-13 4:56,23,2
,,,,
478,86,09-05-10 19:47,10,2
,,,,
479,81,22-06-11 17:38,29,2
,,,,
480,91,19-08-16 0:12,23,2
,,,,
481,54,28-10-12 19:09,5,0
,,,,
482,44,04-07-19 10:36,10,0
,,,,
483,82,03-12-16 10:24,3,0
,,,,
484,59,09-10-11 11:08,28,2
,,,,
485,84,10-06-16 16:22,18,1
,,,,
486,71,27-07-15 2:49,4,0
,,,,
487,39,30-01-14 3:18,18,1
,,,,
488,39,04-01-19 21:26,23,2
,,,,
489,49,12-01-11 8:55,14,1
,,,,
490,66,29-09-11 19:32,25,2
,,,,
491,87,14-08-12 20:27,18,1
,,,,
492,63,16-02-14 6:42,9,0
,,,,
493,97,02-06-13 13:05,4,0
,,,,
494,66,14-10-12 4:00,11,0
,,,,
495,33,28-10-16 18:22,17,1
,,,,
496,90,23-10-12 17:14,8,0
,,,,
497,76,24-10-14 17:21,15,1
,,,,
498,47,12-08-13 9:16,28,2
,,,,
499,68,10-03-15 16:35,17,1
,,,,
500,32,30-11-17 9:35,7,0
,,,,
501,38,29-11-12 13:43,21,0
,,,,
502,98,15-03-11 8:51,26,2
,,,,
503,70,22-04-17 14:20,9,0
,,,,
504,32,07-03-13 11:18,12,1
,,,,
505,74,24-08-16 18:53,8,0
,,,,
506,96,21-07-18 12:14,13,1
,,,,
507,42,03-01-19 1:05,24,2
,,,,
508,63,24-02-15 17:32,10,2
,,,,
509,36,04-07-11 22:08,24,2
,,,,
510,39,05-02-11 13:19,19,1
,,,,
511,31,28-01-12 3:15,28,2
,,,,
512,57,22-08-15 21:29,30,2
,,,,
513,34,05-06-11 8:35,25,2
,,,,
514,50,24-05-10 2:40,7,0
,,,,
515,64,23-02-12 8:59,9,0
,,,,
516,84,18-06-13 8:52,10,0
,,,,
517,36,18-07-19 3:42,29,2
,,,,
518,100,21-09-15 20:10,4,0
,,,,
519,71,07-12-10 9:58,28,2
,,,,
520,89,09-04-12 9:15,29,2
,,,,
521,38,25-11-15 8:39,4,0
,,,,
522,77,18-11-13 22:14,15,1
,,,,
523,36,13-12-12 17:41,4,0
,,,,
524,34,22-11-14 16:56,8,0
,,,,
525,34,19-11-12 2:31,20,0
,,,,
526,92,27-02-20 18:24,29,2
,,,,
527,96,09-12-11 1:58,4,0
,,,,
528,44,20-05-15 7:59,9,0
,,,,
529,60,19-08-15 1:43,11,0
,,,,
530,33,25-03-19 1:08,20,0
,,,,
531,47,28-02-10 4:27,25,2
,,,,
532,89,21-05-18 22:42,26,2
,,,,
533,60,29-08-12 14:36,2,0
,,,,
534,47,26-02-14 9:37,26,2
,,,,
535,61,15-05-18 18:27,6,0
,,,,
536,73,19-07-13 8:20,20,0
,,,,
537,41,23-11-18 14:14,8,0
,,,,
538,82,12-04-10 0:40,6,0
,,,,
539,62,27-03-11 23:46,19,1
,,,,
540,93,21-03-17 20:59,26,2
,,,,
541,54,12-02-10 23:51,17,1
,,,,
542,58,01-04-16 12:38,16,1
,,,,
543,68,17-04-19 23:18,5,0
,,,,
544,73,01-06-13 2:57,16,1
,,,,
545,34,13-02-11 3:07,28,2
,,,,
546,77,20-01-11 16:48,29,2
,,,,
547,97,16-12-12 11:57,17,1
,,,,
548,98,21-06-15 9:46,14,1
,,,,
549,74,06-04-14 20:32,6,0
,,,,
550,77,27-04-10 3:30,11,0
,,,,
551,76,23-12-17 13:55,22,2
,,,,
552,88,19-05-12 3:42,29,2
,,,,
553,52,20-02-13 4:22,13,1
,,,,
554,54,24-08-19 21:44,16,1
,,,,
555,87,18-10-12 5:37,15,1
,,,,
556,61,17-11-14 19:33,3,0
,,,,
557,72,14-06-17 11:15,20,0
,,,,
558,57,19-08-17 7:32,19,1
,,,,
559,43,26-08-11 20:51,10,1
,,,,
560,53,21-10-11 22:54,29,2
,,,,
561,81,09-03-14 2:41,30,2
,,,,
562,97,28-07-18 0:42,17,1
,,,,
563,37,03-09-16 12:10,14,1
,,,,
564,51,04-04-16 18:55,23,2
,,,,
565,43,08-08-13 1:38,23,2
,,,,
566,92,29-03-18 22:10,23,2
,,,,
567,93,11-03-13 17:54,24,2
,,,,
568,30,09-06-12 21:56,5,0
,,,,
569,73,27-06-11 5:37,30,0
,,,,
570,54,03-12-14 2:19,9,0
,,,,
571,86,28-06-17 2:38,15,1
,,,,
572,40,26-10-18 6:33,30,1
,,,,
573,91,22-01-17 14:35,21,1
,,,,
574,47,03-03-17 18:41,29,2
,,,,
575,72,14-05-13 11:11,26,2
,,,,
576,56,17-01-20 14:54,4,0
,,,,
577,38,11-06-10 16:10,27,2
,,,,
578,58,20-08-13 21:58,12,1
,,,,
579,47,07-11-12 1:30,10,1
,,,,
580,55,11-08-12 21:31,12,1
,,,,
581,84,22-05-16 2:57,8,0
,,,,
582,91,13-09-17 18:25,22,2
,,,,
583,76,24-11-11 10:14,6,0
,,,,
584,97,17-07-12 15:00,5,0
,,,,
585,82,27-08-11 19:28,25,2
,,,,
586,90,28-04-17 9:37,1,2
,,,,
587,89,29-06-16 15:45,15,1
,,,,
588,94,08-05-10 7:35,14,1
,,,,
589,34,16-05-15 11:51,5,0
,,,,
590,34,27-02-13 4:13,21,0
,,,,
591,37,19-06-12 23:54,25,2
,,,,
592,32,22-03-14 16:02,18,1
,,,,
593,94,12-12-10 12:41,19,1
,,,,
594,50,03-01-11 2:14,4,0
,,,,
595,36,04-12-19 2:39,6,0
,,,,
596,86,01-12-12 20:40,4,0
,,,,
597,94,09-11-12 4:33,6,0
,,,,
598,100,14-04-15 21:17,16,1
,,,,
599,38,07-12-12 3:49,24,2
,,,,
600,37,14-11-12 17:40,19,1
,,,,
601,31,30-09-15 8:39,28,2
,,,,
602,73,31-12-14 21:01,12,1
,,,,
603,69,06-03-10 4:04,26,2
,,,,
604,75,24-02-12 18:20,7,0
,,,,
605,42,12-11-14 13:38,19,1
,,,,
